STATIONS_ID;MESS_DATUM;QN_8;  R1;RS_IND;WRTR;eor
       4878;2021060300;    3;   0.0;   0;-999;eor
       4878;2021060301;    3;   0.0;   0;-999;eor
       4878;2021060302;    3;   0.0;   0;-999;eor
       4878;2021060303;    3;   0.0;   0;-999;eor
       4878;2021060304;    3;   0.0;   0;-999;eor
       4878;2021060305;    3;   0.0;   0;-999;eor
       4878;2021060306;    3;   0.0;   0;-999;eor
       4878;2021060307;    3;   0.0;   0;-999;eor
       4878;2021060308;    3;   0.0;   0;-999;eor
       4878;2021060309;    3;   0.0;   0;-999;eor
       4878;2021060310;    3;   0.0;   0;-999;eor
       4878;2021060311;    3;   0.0;   0;-999;eor
       4878;2021060312;    3;   0.0;   0;-999;eor
       4878;2021060313;    3;   0.0;   0;-999;eor
       4878;2021060314;    3;   0.0;   0;-999;eor
       4878;2021060315;    3;   0.0;   0;-999;eor
       4878;2021060316;    3;   0.0;   0;-999;eor
       4878;2021060317;    3;   0.0;   0;-999;eor
       4878;2021060318;    3;   0.0;   0;-999;eor
       4878;2021060319;    3;   0.0;   0;-999;eor
       4878;2021060320;    3;   0.0;   0;-999;eor
       4878;2021060321;    3;   0.0;   0;-999;eor
       4878;2021060322;    3;   0.0;   0;-999;eor
       4878;2021060323;    3;   0.0;   0;-999;eor
       4878;2021060400;    3;   0.0;   0;-999;eor
       4878;2021060401;    3;   0.0;   0;-999;eor
       4878;2021060402;    3;   0.0;   0;-999;eor
       4878;2021060403;    3;   0.0;   0;-999;eor
       4878;2021060404;    3;   0.0;   0;-999;eor
       4878;2021060405;    3;   0.0;   0;-999;eor
       4878;2021060406;    3;   0.0;   0;-999;eor
       4878;2021060407;    3;   0.0;   0;-999;eor
       4878;2021060408;    3;   0.0;   0;-999;eor
       4878;2021060409;    3;   0.0;   0;-999;eor
       4878;2021060410;    3;   0.0;   0;-999;eor
       4878;2021060411;    3;   0.0;   0;-999;eor
       4878;2021060412;    3;   5.5;   1;-999;eor
       4878;2021060413;    3;   0.1;   1;-999;eor
       4878;2021060414;    3;   0.5;   1;-999;eor
       4878;2021060415;    3;   0.0;   1;-999;eor
       4878;2021060416;    3;   0.0;   1;-999;eor
       4878;2021060417;    3;   0.0;   0;-999;eor
       4878;2021060418;    3;   0.0;   0;-999;eor
       4878;2021060419;    3;   0.0;   0;-999;eor
       4878;2021060420;    3;   0.0;   0;-999;eor
       4878;2021060421;    3;   0.0;   0;-999;eor
       4878;2021060422;    3;   0.0;   0;-999;eor
       4878;2021060423;    3;   0.0;   0;-999;eor
       4878;2021060500;    3;   0.0;   0;-999;eor
       4878;2021060501;    3;   0.0;   0;-999;eor
       4878;2021060502;    3;   0.0;   0;-999;eor
       4878;2021060503;    3;   0.0;   0;-999;eor
       4878;2021060504;    3;   0.0;   0;-999;eor
       4878;2021060505;    3;   0.0;   0;-999;eor
       4878;2021060506;    3;   0.0;   0;-999;eor
       4878;2021060507;    3;   0.0;   0;-999;eor
       4878;2021060508;    3;   0.0;   0;-999;eor
       4878;2021060509;    3;   0.0;   0;-999;eor
       4878;2021060510;    3;   0.0;   0;-999;eor
       4878;2021060511;    3;   0.0;   0;-999;eor
       4878;2021060512;    3;   0.0;   0;-999;eor
       4878;2021060513;    3;   0.0;   0;-999;eor
       4878;2021060514;    3;   0.0;   0;-999;eor
       4878;2021060515;    3;   0.4;   1;-999;eor
       4878;2021060516;    3;   0.8;   1;-999;eor
       4878;2021060517;    3;   0.4;   1;-999;eor
       4878;2021060518;    3;   0.0;   0;-999;eor
       4878;2021060519;    3;   0.0;   0;-999;eor
       4878;2021060520;    3;   0.0;   0;-999;eor
       4878;2021060521;    3;   0.0;   0;-999;eor
       4878;2021060522;    3;   0.0;   0;-999;eor
       4878;2021060523;    3;   0.0;   0;-999;eor
       4878;2021060600;    3;   0.0;   0;-999;eor
       4878;2021060601;    3;   0.2;   1;-999;eor
       4878;2021060602;    3;   0.0;   1;-999;eor
       4878;2021060603;    3;   0.0;   0;-999;eor
       4878;2021060604;    3;   2.0;   1;-999;eor
       4878;2021060605;    3;   6.9;   1;-999;eor
       4878;2021060606;    3;   0.6;   1;-999;eor
       4878;2021060607;    3;   0.0;   0;-999;eor
       4878;2021060608;    3;   0.3;   1;-999;eor
       4878;2021060609;    3;   0.1;   1;-999;eor
       4878;2021060610;    3;   0.0;   0;-999;eor
       4878;2021060611;    3;   0.0;   0;-999;eor
       4878;2021060612;    3;   0.0;   0;-999;eor
       4878;2021060613;    3;   0.0;   0;-999;eor
       4878;2021060614;    3;   0.0;   0;-999;eor
       4878;2021060615;    3;   0.0;   0;-999;eor
       4878;2021060616;    3;   0.0;   0;-999;eor
       4878;2021060617;    3;   0.0;   0;-999;eor
       4878;2021060618;    3;   0.0;   0;-999;eor
       4878;2021060619;    3;   0.0;   0;-999;eor
       4878;2021060620;    3;   0.0;   0;-999;eor
       4878;2021060621;    3;   0.0;   0;-999;eor
       4878;2021060622;    3;   0.0;   0;-999;eor
       4878;2021060623;    3;   0.0;   0;-999;eor
       4878;2021060700;    3;   0.0;   0;-999;eor
       4878;2021060701;    3;   0.0;   0;-999;eor
       4878;2021060702;    3;   0.0;   0;-999;eor
       4878;2021060703;    3;   0.0;   0;-999;eor
       4878;2021060704;    3;   0.0;   0;-999;eor
       4878;2021060705;    3;   0.0;   0;-999;eor
       4878;2021060706;    3;   0.0;   0;-999;eor
       4878;2021060707;    3;   0.0;   0;-999;eor
       4878;2021060708;    3;   0.0;   0;-999;eor
       4878;2021060709;    3;   0.0;   0;-999;eor
       4878;2021060710;    3;   0.0;   0;-999;eor
       4878;2021060711;    3;   0.0;   0;-999;eor
       4878;2021060712;    3;   0.0;   0;-999;eor
       4878;2021060713;    3;   0.0;   0;-999;eor
       4878;2021060714;    3;   0.0;   0;-999;eor
       4878;2021060715;    3;   0.0;   0;-999;eor
       4878;2021060716;    3;   0.0;   0;-999;eor
       4878;2021060717;    3;   0.0;   0;-999;eor
       4878;2021060718;    3;   0.0;   0;-999;eor
       4878;2021060719;    3;   0.0;   0;-999;eor
       4878;2021060720;    3;   0.0;   0;-999;eor
       4878;2021060721;    3;   0.0;   0;-999;eor
       4878;2021060722;    3;   0.0;   0;-999;eor
       4878;2021060723;    3;   0.0;   0;-999;eor
       4878;2021060800;    3;   0.0;   0;-999;eor
       4878;2021060801;    3;   0.0;   0;-999;eor
       4878;2021060802;    3;   0.0;   0;-999;eor
       4878;2021060803;    3;   0.0;   0;-999;eor
       4878;2021060804;    3;   0.0;   0;-999;eor
       4878;2021060805;    3;   0.0;   0;-999;eor
       4878;2021060806;    3;   0.0;   0;-999;eor
       4878;2021060807;    3;   0.0;   0;-999;eor
       4878;2021060808;    3;   0.0;   0;-999;eor
       4878;2021060809;    3;   0.0;   0;-999;eor
       4878;2021060810;    3;   0.0;   0;-999;eor
       4878;2021060811;    3;   3.5;   1;-999;eor
       4878;2021060812;    3;   0.0;   0;-999;eor
       4878;2021060813;    3;   0.0;   0;-999;eor
       4878;2021060814;    3;   0.0;   0;-999;eor
       4878;2021060815;    3;   0.0;   0;-999;eor
       4878;2021060816;    3;   0.0;   0;-999;eor
       4878;2021060817;    3;   0.0;   0;-999;eor
       4878;2021060818;    3;   0.0;   0;-999;eor
       4878;2021060819;    3;   0.0;   0;-999;eor
       4878;2021060820;    3;   0.6;   1;-999;eor
       4878;2021060821;    3;   0.0;   0;-999;eor
       4878;2021060822;    3;   0.0;   1;-999;eor
       4878;2021060823;    3;   0.0;   0;-999;eor
       4878;2021060900;    3;   0.0;   0;-999;eor
       4878;2021060901;    3;   0.0;   0;-999;eor
       4878;2021060902;    3;   0.0;   0;-999;eor
       4878;2021060903;    3;   0.0;   0;-999;eor
       4878;2021060904;    3;   0.0;   0;-999;eor
       4878;2021060905;    3;   0.0;   0;-999;eor
       4878;2021060906;    3;   0.0;   0;-999;eor
       4878;2021060907;    3;   0.0;   0;-999;eor
       4878;2021060908;    3;   0.0;   0;-999;eor
       4878;2021060909;    3;   0.0;   0;-999;eor
       4878;2021060910;    3;   0.0;   0;-999;eor
       4878;2021060911;    3;   0.0;   0;-999;eor
       4878;2021060912;    3;   0.0;   0;-999;eor
       4878;2021060913;    3;   0.0;   0;-999;eor
       4878;2021060914;    3;   0.0;   0;-999;eor
       4878;2021060915;    3;   0.0;   0;-999;eor
       4878;2021060916;    3;   0.7;   1;-999;eor
       4878;2021060917;    3;   0.0;   0;-999;eor
       4878;2021060918;    3;   0.0;   0;-999;eor
       4878;2021060919;    3;   0.0;   0;-999;eor
       4878;2021060920;    3;   0.0;   0;-999;eor
       4878;2021060921;    3;   0.0;   0;-999;eor
       4878;2021060922;    3;   0.0;   0;-999;eor
       4878;2021060923;    3;   0.0;   0;-999;eor
       4878;2021061000;    3;   0.0;   0;-999;eor
       4878;2021061001;    3;   0.0;   0;-999;eor
       4878;2021061002;    3;   0.0;   0;-999;eor
       4878;2021061003;    3;   0.0;   0;-999;eor
       4878;2021061004;    3;   0.0;   0;-999;eor
       4878;2021061005;    3;   0.0;   0;-999;eor
       4878;2021061006;    3;   0.0;   0;-999;eor
       4878;2021061007;    3;   0.0;   0;-999;eor
       4878;2021061008;    3;   0.0;   0;-999;eor
       4878;2021061009;    3;   0.0;   0;-999;eor
       4878;2021061010;    3;   0.0;   0;-999;eor
       4878;2021061011;    3;   0.0;   0;-999;eor
       4878;2021061012;    3;   0.0;   0;-999;eor
       4878;2021061013;    3;   0.0;   0;-999;eor
       4878;2021061014;    3;   5.0;   1;-999;eor
       4878;2021061015;    3;   0.0;   0;-999;eor
       4878;2021061016;    3;   0.0;   0;-999;eor
       4878;2021061017;    3;   0.0;   0;-999;eor
       4878;2021061018;    3;   0.0;   0;-999;eor
       4878;2021061019;    3;   0.0;   0;-999;eor
       4878;2021061020;    3;   0.0;   0;-999;eor
       4878;2021061021;    3;   0.0;   0;-999;eor
       4878;2021061022;    3;   0.0;   0;-999;eor
       4878;2021061023;    3;   0.0;   0;-999;eor
       4878;2021061100;    3;   0.0;   0;-999;eor
       4878;2021061101;    3;   0.0;   0;-999;eor
       4878;2021061102;    3;   0.0;   0;-999;eor
       4878;2021061103;    3;   0.0;   0;-999;eor
       4878;2021061104;    3;   0.0;   0;-999;eor
       4878;2021061105;    3;   0.0;   0;-999;eor
       4878;2021061106;    3;   0.0;   0;-999;eor
       4878;2021061107;    3;   0.0;   0;-999;eor
       4878;2021061108;    3;   0.0;   0;-999;eor
       4878;2021061109;    3;   0.0;   0;-999;eor
       4878;2021061110;    3;   0.0;   0;-999;eor
       4878;2021061111;    3;   0.0;   0;-999;eor
       4878;2021061112;    3;   0.0;   0;-999;eor
       4878;2021061113;    3;   0.0;   0;-999;eor
       4878;2021061114;    3;   0.0;   0;-999;eor
       4878;2021061115;    3;   0.0;   0;-999;eor
       4878;2021061116;    3;   0.0;   0;-999;eor
       4878;2021061117;    3;   0.0;   0;-999;eor
       4878;2021061118;    3;   0.0;   0;-999;eor
       4878;2021061119;    3;   0.0;   0;-999;eor
       4878;2021061120;    3;   0.0;   0;-999;eor
       4878;2021061121;    3;   0.0;   0;-999;eor
       4878;2021061122;    3;   0.0;   0;-999;eor
       4878;2021061123;    3;   0.0;   0;-999;eor
       4878;2021061200;    3;   0.0;   0;-999;eor
       4878;2021061201;    3;   0.0;   0;-999;eor
       4878;2021061202;    3;   0.0;   0;-999;eor
       4878;2021061203;    3;   0.0;   0;-999;eor
       4878;2021061204;    3;   0.0;   0;-999;eor
       4878;2021061205;    3;   0.0;   0;-999;eor
       4878;2021061206;    3;   0.0;   0;-999;eor
       4878;2021061207;    3;   0.0;   0;-999;eor
       4878;2021061208;    3;   0.0;   0;-999;eor
       4878;2021061209;    3;   0.0;   0;-999;eor
       4878;2021061210;    3;   0.0;   0;-999;eor
       4878;2021061211;    3;   0.0;   0;-999;eor
       4878;2021061212;    3;   0.1;   1;-999;eor
       4878;2021061213;    3;   0.0;   0;-999;eor
       4878;2021061214;    3;   0.0;   0;-999;eor
       4878;2021061215;    3;   0.0;   0;-999;eor
       4878;2021061216;    3;   0.0;   0;-999;eor
       4878;2021061217;    3;   0.0;   0;-999;eor
       4878;2021061218;    3;   0.0;   0;-999;eor
       4878;2021061219;    3;   0.0;   0;-999;eor
       4878;2021061220;    3;   0.0;   0;-999;eor
       4878;2021061221;    3;   0.0;   0;-999;eor
       4878;2021061222;    3;   0.0;   0;-999;eor
       4878;2021061223;    3;   0.0;   0;-999;eor
       4878;2021061300;    3;   0.0;   0;-999;eor
       4878;2021061301;    3;   0.0;   0;-999;eor
       4878;2021061302;    3;   0.0;   0;-999;eor
       4878;2021061303;    3;   0.0;   0;-999;eor
       4878;2021061304;    3;   0.0;   0;-999;eor
       4878;2021061305;    3;   0.0;   0;-999;eor
       4878;2021061306;    3;   0.0;   0;-999;eor
       4878;2021061307;    3;   0.0;   0;-999;eor
       4878;2021061308;    3;   0.0;   0;-999;eor
       4878;2021061309;    3;   0.0;   0;-999;eor
       4878;2021061310;    3;   0.0;   0;-999;eor
       4878;2021061311;    3;   0.0;   0;-999;eor
       4878;2021061312;    3;   0.0;   0;-999;eor
       4878;2021061313;    3;   0.0;   0;-999;eor
       4878;2021061314;    3;   0.0;   0;-999;eor
       4878;2021061315;    3;   0.0;   0;-999;eor
       4878;2021061316;    3;   0.0;   0;-999;eor
       4878;2021061317;    3;   0.0;   0;-999;eor
       4878;2021061318;    3;   0.0;   0;-999;eor
       4878;2021061319;    3;   0.0;   0;-999;eor
       4878;2021061320;    3;   0.0;   0;-999;eor
       4878;2021061321;    3;   0.0;   0;-999;eor
       4878;2021061322;    3;   0.0;   0;-999;eor
       4878;2021061323;    3;   0.0;   0;-999;eor
       4878;2021061400;    3;   0.0;   0;-999;eor
       4878;2021061401;    3;   0.0;   0;-999;eor
       4878;2021061402;    3;   0.0;   0;-999;eor
